Crude (million tonnes);Canada;Mexico;US;S. & Cent. America;Europe;Russia;Other CIS;Middle East;Africa;Australasia;China;India;Japan;Singapore;Other Asia Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canada;0,0000;0,0000;183,9506;0,6021;4,4536;0,0000;0,0000;0,0001;0,0000;0,0000;1,2195;0,4610;0,0000;0,0000;0,2514;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mexico;0,0000;0,0000;33,1205;0,4876;11,9763;0,0000;0,0000;0,0809;0,0000;0,0000;0,7138;8,8767;1,8143;0,0000;4,6238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US;18,8277;0,1434;0,0000;5,4029;29,2302;0,0000;0,0000;1,5355;0,0000;0,2533;12,2825;4,8607;2,4520;1,1223;17,1164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S. & Cent. America;0,3478;0,0000;56,9033;0,0000;10,2197;0,0000;0,0000;0,0000;0,3469;0,0000;61,9876;22,9050;1,8980;0,1770;1,9002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe;1,4423;0,0000;5,8874;0,8170;0,0000;0,0001;0,0001;6,0612;0,3688;0,0003;8,6213;1,5225;0,0000;0,0080;6,4961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Russia;0,2007;0,0000;3,6432;3,6429;153,2532;0,0000;18,4705;1,4317;0,0013;0,3179;71,5901;2,2197;7,0333;1,7426;12,3059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other CIS;1,1437;0,0000;1,7715;0,1406;63,2459;0,4997;0,0000;6,5945;0,3469;0,0795;2,8347;1,5889;1,5068;0,3639;5,7781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iraq;0,0000;0,0000;25,8286;0,7735;48,6810;0,0000;0,0000;3,1795;2,2996;0,0000;45,0450;47,7061;2,7245;1,3054;23,3669;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kuwait;0,0000;0,0000;3,8801;0,0000;5,8379;0,0000;0,0000;0,0000;4,0036;0,0000;23,2122;11,3813;11,6763;6,9559;36,0490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saudi Arabia;5,5690;0,0000;43,3286;3,3504;41,2679;0,0000;0,0000;13,7310;9,6343;0,4981;56,7337;39,2689;57,4057;10,6838;85,9453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UAE;0,0000;0,0000;0,2722;0,0000;0,7402;0,0000;0,0000;0,0235;0,8494;5,9860;12,2021;16,0493;37,2651;10,6497;41,8584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other Middle East;0,0000;0,0000;0,0000;0,1444;27,6191;0,0000;0,0000;5,6812;0,2074;0,0945;66,0267;32,3697;21,9437;10,5446;27,4684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North Africa;0,4749;0,0000;7,8508;2,0768;58,3000;0,0000;0,0914;1,4249;0,0441;1,9668;11,3159;3,9587;0,1626;1,1711;6,7664;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
West Africa;1,0781;0,0000;16,7700;9,4824;63,0776;0,0132;0,0000;0,4512;10,8899;2,4501;71,8734;27,6266;0,5248;1,2971;14,3201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
East & S. Africa;0,0000;0,0000;0,0251;0,0000;1,1640;0,0000;0,0000;0,0431;0,0001;0,0000;4,3593;1,2060;0,0656;0,0000;0,7970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australasia;0,0000;0,0000;0,0722;0,0400;0,0002;0,0000;0,0000;0,1762;0,0031;0,0000;1,3160;0,2771;0,4715;1,3324;7,2255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
China;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,5196;0,0001;1,1872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;0,0000;0,0000;0,0000;0,0040;0,0000;0,0000;0,0000;0,0000;0,0461;0,0012;0,0000;0,0000;0,0000;0,0002;0,0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Japan;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0029;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Singapore;0,0000;0,0000;0,0000;0,0009;0,0834;0,0000;0,0000;0,0000;0,0000;0,0837;0,0891;0,0000;0,0000;0,0000;0,3866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Other Asia Pacific;0,0000;0,0000;2,9529;0,0001;0,0000;0,0000;0,0000;0,3892;0,1216;11,9095;13,0702;5,2169;2,3367;4,8247;0,0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
